0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ELF1,INSR,C1QTNF3,GLG1,LIME1,THBS2,ID4,FYN,PTPRE,EPAS1,UNC5B,ADGRL4,MS4A6A,TPM1,MEF2A,GNPTAB
NPL,IVNS1ABP,ANOS1,CADM2,SAMSN1,LAMA4,MAP2K3,STMN2,OTULINL,SLC14A1,INSR,SLCO2A1,VIT,SIPA1L2,PARP14,ALOX5
PTGER4,FAT3,SVIL,AC105383.1,SERPINB9,CDH15,COL18A1,ASPN,CD83,ID4,IVNS1ABP,CYTH1,CDKN1C,UGCG,ARRB1,TNFSF10
SAMSN1,CFI,FBLN5,MPRIP-AS1,ITGAL,WWP2,FTH1,MME,SRGN,MYH9,CFI,INPP5D,UACA,IGFBP3,EEPD1,HPGDS
DOCK2,COL16A1,LTBP2,CLU,HSP90AA1,MMP13,GRN,COL14A1,MS4A4E,ETV1,COL16A1,CLEC2B,MAP2K3,ACTA2,UBC,SAMSN1
AP1B1,IL17B,FN1,C1S,ARHGAP26,PDGFRB,UNC5B,SFRP4,CRYBG1,PLXDC1,IL17B,FRMD4B,COL18A1,MFAP5,CELF2,CD82
CYBB,TPM1,CCN1,CLEC18A,ELF1,CLU,INSR,DIO2,RCSD1,NR2F2-AS1,FAT4,FAM241A,FTH1,HK2,GRN,LTC4S
TET3,SIPA1L2,VCAN,ARHGEF2,STK17B,C1S,IVNS1ABP,SULF2,BAZ2B,STAC2,TPM1,MEF2A,GRN,CNKSR3,COL18A1,HPGD
PSAP,UGCG,FLNB,HPGD,PIK3R5,HPGD,CFI,ACKR3,DMXL2,FAT1,PIK3R1,ARRB1,UNC5B,SLC1A4,FTH1,TPM1
DOCK10,IGFBP3,DIO2,SON,PCED1B-AS1,COL11A1,COL16A1,RARRES1,CCSER1,COL4A1,NOTCH3,SFMBT2,INSR,A2M,MAP2K3,IGFBP5
PREX1,ACTA2,GAS6,NRN1,AMD1,NOTCH3,IL17B,NOVA1,EMILIN2,COL5A3,MMP13,FCHO2,IVNS1ABP,ARHGEF7,UNC5B,GLG1
ST6GAL1,MFAP5,COL6A3,EXTL1,ID2,LTBP3,TPM1,ABCC9,ID2,ADAMTS4,SIPA1L2,RAPGEF4,CFI,PGM2L1,INSR,CLU
ATP8B4,HK2,PLAT,COL10A1,ITGA4,VCAN,HSP90AA1,PDE4B,ADAM28,MGLL,UGCG,PECAM1,COL16A1,PDGFRB,IVNS1ABP,C1S
NFKBIA,CNKSR3,SVEP1,A2M,IKZF1,TGFBI,SIPA1L2,ENPP2,ARRB2,JAG1,IGFBP3,PCDH17,IL17B,ADIRF,UACA,SNORC
NCOA4,SON,FBN1,FN1,SYNE2,CD82,UGCG,PLPP3,SERPINA1,NOTCH3,ACTA2,MGLL,TPM1,SLF1,CFI,MATN4
SGK1,SLC1A4,MATN3,LAMB2,CXCR4,SNORC,RGS16,MT2A,FGL2,ECE1,MFAP5,SYNE2,SIPA1L2,NRN1,COL16A1,LAMB2
BMP2K,LRRC1,PLEKHH2,IFI6,CD53,MPRIP-AS1,IGFBP3,HAS2,LY86,NR2F2,HK2,FYN,FMNL2,THBS2,IL17B,C3
CD83,A2M,ASPN,C3,DDX3Y,AFDN,ACTA2,VCAN,THEMIS2,TPM2,CNKSR3,ABCG1,UGCG,NRP1,CDKN1C,MAP2K3
NCKAP1L,ARHGEF7,HMCN1,GRIA2,TENT5C,ABCA8,MFAP5,CCDC80,MEF2A,PDGFRB,MT2A,CDH13,IGFBP3,EDNRA,TPM1,MS4A6A
MGAT4A,PGM2L1,COL8A1,FLNB,ETS1,HMCN1,HK2,LRP1,APBB1IP,CCDC102B,SLC1A4,SHANK3,ACTA2,GMFG,SIPA1L2,VIT
INPP5D,PDGFRB,THBS4,IL6R,HCST,COL3A1,CNKSR3,C3,ANKRD12,COL18A1,GREM2,NOX4,MFAP5,GPR34,VIT,CDKN1C
AKAP13,GRIK1,SLC6A6,MS4A6A,CDC14A,MATN4,EPYC,C1S,JAML,EDNRA,A2M,TNFSF10,HK2,NCOA7,UGCG,UACA
GAS2L3,ADIRF,COL3A1,SRPX2,PRKCH,LAMB2,SLC1A4,IGFBP5,MNDA,ACTA2,ARHGEF7,PLPP3,CNKSR3,TMEM184B,IGFBP3,COL18A1
HMOX1,SLF1,ARHGAP21,VIT,RASSF5,ENPP2,A2M,SNED1,RNF144B,UACA,FMNL2,IGFBP7,SLC1A4,CCDC80,ACTA2,FTH1
PTPRE,NDNF,COL12A1,SPARC,ARAP2,C3,ARHGEF7,ABCA8,CXorf21,IGFBP7,PGM2L1,ADCY4,A2M,FAT4,MFAP5,GRN
